#START7777
#--------------------------------------------------------------------------------------------------
#  WD1    : 1분 평균 풍향 (degree) : 0-N, 90-E, 180-S, 270-W, 360-무풍 
#  WS1    : 1분 평균 풍속 (m/s) 
#  WDS    : 최대 순간 풍향 (degree) 
#  WSS    : 최대 순간 풍속 (m/s) 
#  WD10   : 10분 평균 풍향 (degree) 
#  WS10   : 10분 평균 풍속 (m/s) 
#  TA     : 1분 평균 기온 (C) 
#  RE     : 강수감지 (0-무강수, 1-강수, 음수인 경우 null값)  
#  RN-15m : 15분 누적 강수량 (mm) 
#  RN-60m : 60분 누적 강수량 (mm) 
#  RN-12H : 12시간 누적 강수량 (mm) 
#  RN-DAY : 일 누적 강수량 (mm) 
#  HM     : 1분 평균 상대습도 (%) 
#  PA     : 1분 평균 현지기압 (hPa) 
#  PS     : 1분 평균 해면기압 (hPa) 
#  TD     : 이슬점온도 (C) 
#  *) -50 이하면 관측이 없거나, 에러처리된 것을 표시 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN    WD1    WS1    WDS    WSS   WD10   WS10     TA     RE RN-15m RN-60m RN-12H RN-DAY     HM     PA     PS     TD
#        KST    ID    deg    m/s    deg    m/s    deg    m/s      C      1     mm     mm     mm     mm      %    hPa    hPa     C
202608131200   138   37.5    4.1   53.2    5.0   56.1    3.8   29.3  -99.9    0.0    0.0    0.5    0.5   62.7 1002.4 1002.8   21.5
202608131200   140   63.7    1.7   43.9    2.6   32.2    1.8   29.1  -99.9    0.0    0.0    0.0    0.0   59.6 1001.8 1004.9   20.4
202608131200   143   27.4    0.7  341.7    0.7   68.7    0.8   30.3  -99.9    0.0    0.0    0.0    0.0   47.0  996.2 1002.2   17.7
202608131200   146  294.3    4.2  301.9    5.2  278.6    2.6   30.5  -99.9    0.0    0.0    0.0    0.0   47.0  996.6 1003.3   17.9
202608131200   151   20.0    4.2   20.0    5.7  360.0    3.9   29.4  -99.9    0.0    0.0    0.0    0.0   58.0 1002.6 1003.5   20.3
202608131200   152   41.8    2.7   45.2    4.4   52.0    2.6   29.0  -99.9    0.0    0.0    0.0    0.0   56.4  993.2 1002.2   19.5
202608131200   155  140.0    2.2  161.0    3.3  128.6    2.2   32.2  -99.9    0.0    0.0    0.0    0.0   47.1  998.9 1002.8   19.5
202608131200   156   18.5    2.3   16.5    2.8  309.1    1.6   29.0  -99.9    0.0    0.0    0.0    0.0   57.4  995.6 1003.4   19.7
202608131200   159  156.4    5.5  140.2    6.7  167.1    4.6   31.7  -99.9    0.0    0.0    0.0    0.0   61.7  994.7 1002.4   23.5
202608131200   160  121.2    4.7  120.3    5.8  132.0    3.8   25.9  -99.9    0.0    0.0    0.0    0.0   79.4  946.1 1006.4   22.1
202608131200   162  222.3    1.9  223.2    2.8  211.5    2.4   31.9  -99.9    0.0    0.0    0.0    0.0   46.8  998.6 1002.1   19.1
202608131200   163  290.0    2.0  340.0    2.6  280.0    2.1   30.3  -99.9    0.0    0.0    0.0    0.0   54.0 1002.9 1004.1   20.0
202608131200   165  259.6    4.6  282.4    4.7  274.4    3.0   29.1  -99.9    0.0    0.0    0.0    0.0   59.8  998.9 1003.9   20.5
202608131200   167   20.0    1.9   20.0    2.4   20.0    2.0   31.1  -99.9    0.0    0.0    0.0    0.0   45.0 1002.6 1003.6   17.8
202608131200   168  144.5    2.1  124.6    2.6  185.9    1.9   31.0  -99.9    0.0    0.0    0.0    0.0   49.8  996.3 1003.6   19.3
202608131200   169  158.0    2.6  168.0    3.0  163.2    2.7   31.2  -99.9    0.0    0.0    0.0    0.0   62.9  995.7 1004.0   23.3
202608131200   170  100.0    2.1  126.0    3.3  100.3    2.4   31.8  -99.9    0.0    0.0    0.0    0.0   50.9 1000.0 1003.9   20.4
202608131200   172  241.0    2.7  229.9    3.1  252.4    2.1   29.6  -99.9    0.0    0.0    0.0    0.0   56.7  997.7 1003.5   20.1
202608131200   174  264.1    2.3  272.7    3.0  255.8    1.7   30.6  -99.9    0.0    0.0    0.0    0.0   41.7  983.1 1001.3   16.1
202608131200   175   90.8    1.1  194.1    2.4  144.1    1.5   27.6  -99.9    0.0    0.0    0.0    0.0   64.2  952.0 1004.3   20.2
202608131200   177  293.6    3.2   10.9    4.6    8.9    2.2   30.5  -99.9    0.0    0.0    0.0    0.0   57.7  999.8 1002.9   21.2
202608131200   181  326.4    0.6  350.4    1.6  342.6    0.6   28.3  -99.9    0.0    0.0    0.0    0.0   61.1 1000.6 1004.4   20.1
202608131200   182   80.0    6.9  100.0    8.5   70.0    6.3   28.5  -99.9    0.0    0.0    3.8    3.8   67.0 1001.2 1004.0   21.8
202608131200   184   60.4    4.4   38.7    6.1   51.4    4.5   29.1  -99.9    0.0    0.0    2.6    2.6   63.9 1000.9 1003.2   21.6
202608131200   185  126.8    5.5  342.6    7.0  300.3    5.3   26.8  -99.9    0.0    0.0    0.0    0.0   74.3  995.2 1003.2   21.8
202608131200   188   44.4    5.5   58.2    6.0   70.7    4.2   30.4  -99.9    0.0    0.0    0.0    0.0   63.0 1001.8 1004.1   22.6
202608131200   189   35.0    1.5  139.0    3.7   95.4    1.9   30.7  -99.9    0.0    0.0    0.0    0.0   61.8  997.8 1003.6   22.5
202608131200   192  226.1    1.4  298.2    2.2  255.3    1.4   30.7  -99.9    0.0    0.0    0.0    0.0   51.8  999.7 1003.0   19.7
202608131200   201  104.2    2.8  109.6    4.4   77.6    2.5   29.5  -99.9    0.0    0.0    0.0    0.0   61.4 1000.1 1005.5   21.3
202608131200   202    6.0    2.5  349.0    3.7  352.0    2.2   30.0  -99.9    0.0    0.0    0.0    0.0   52.1  999.4 1004.7   19.1
202608131200   203   21.2    0.6   19.7    2.0   24.9    0.9   28.7  -99.9    0.0    0.0    0.0    0.0   65.1  996.0 1005.0   21.5
202608131200   211   52.0    2.1   42.2    3.3   50.0    2.8   25.3  -99.9    0.0    0.0    0.7    0.7   73.2  982.2 1004.9   20.2
202608131200   212  263.7    1.6  284.2    2.4  286.0    1.7   27.0  -99.9    0.0    0.0    0.0    0.0   64.3  989.2 1004.9   19.7
202608131200   216   30.0    2.9   90.0    4.4   21.7    1.5   21.0  -99.9    0.2    0.3   14.1   14.1   89.4  925.5 1004.3   19.2
202608131200   217  275.3    0.2  256.4    0.3  239.2    0.6   24.6  -99.9    0.0    0.3    4.1    4.1   81.6  969.7 1004.6   21.2
202608131200   221   50.3    0.7   11.1    1.1  167.0    0.9   25.2  -99.9    0.0    0.0    0.0    0.0   70.4  974.7 1004.3   19.4
202608131200   226  261.7    0.6  292.7    1.4  335.2    1.8   28.1  -99.9  -99.9  -99.9  -99.9  -99.2   58.9  984.8 1003.9   19.3
202608131200   229   38.3    4.4   36.8    5.1   40.1    4.4   25.1  -99.9    0.0    0.0    0.0    0.0   84.5  991.8 1003.6   22.3
202608131200   230  171.2    3.5  169.6    4.2  168.9    3.2   26.2  -99.9    0.0    0.0    0.0    0.0   66.6 1004.3 1005.7   19.5
202608131200   232  136.9    0.1  137.8    0.4  296.8    0.7   27.9  -99.9    0.0    0.0    0.0    0.0   58.3  995.3 1004.8   19.0
202608131200   235   24.0    2.3   43.0    2.7    8.8    2.0   31.4  -99.9    0.0    0.0    0.0    0.0   51.4 1002.5 1003.6   20.2
202608131200   236   47.5    2.5   42.2    4.0   18.8    2.0   29.0  -99.9    0.0    0.0    0.0    0.0   59.1 1003.0 1004.5   20.2
202608131200   238  340.1    1.7    0.0    2.8   11.2    1.8   28.1  -99.9    0.0    0.0    0.0    0.0   60.6  984.4 1003.3   19.8
202608131200   239   83.2    0.0  110.8    1.0   14.8    1.4   28.1  -99.9    0.0    0.0    0.0    0.0   61.6  993.5 1003.5   20.0
202608131200   243  311.9    1.2   61.9    1.7   33.7    1.8   29.4  -99.9    0.0    0.0    0.0    0.0   53.1 1002.8 1004.2   18.9
202608131200   244  200.7    1.4  199.8    1.6  258.7    1.2   28.3  -99.9    0.0    0.0    0.0    0.0   53.9  975.6 1002.9   18.1
202608131200   245  291.0    2.3  320.0    3.5  270.4    2.3   30.1  -99.9    0.0    0.0    0.0    0.0   51.0  996.0 1003.6   18.9
202608131200   247  263.9    0.5  247.6    1.1  259.2    1.2   30.2  -99.9  -99.9  -99.9  -99.9  -99.2   52.8  987.9 1002.7   19.5
202608131200   248  108.6    1.7   70.3    2.2  117.5    1.2   28.6  -99.9    0.0    0.0    0.0    0.0   52.0  958.3 1002.8   17.8
202608131200   251  251.3    2.4  251.3    2.4  257.7    2.0   29.3  -99.9    0.0    0.0    0.0    0.0   58.8  997.7 1003.3   20.4
202608131200   252  229.6    1.4  236.3    2.1  253.0    1.1   29.8  -99.9    0.0    0.0    0.0    0.0   55.6  999.5 1003.7   20.0
202608131200   253  140.5    1.8  166.0    2.3  177.6    2.0   33.7  -99.9    0.0    0.0    0.0    0.0   49.4  997.4 1003.4   21.7
202608131200   254  281.6    2.0  263.9    2.8  250.7    1.9   29.9  -99.9    0.0    0.0    0.0    0.0   44.4  989.0 1003.3   16.5
202608131200   255   78.2    1.5   85.9    2.3  323.4    1.2   31.9  -99.9    0.0    0.0    0.0    0.0   46.6  996.3 1001.9   19.1
202608131200   257   64.6    1.4   30.8    2.0   72.4    2.1   31.4  -99.9    0.0    0.0    0.0    0.0   52.2 1001.7 1002.4   20.4
202608131200   258  167.3    2.2  173.1    2.9  203.3    1.5   30.9  -99.9    0.0    0.0    0.0    0.0   52.9 1003.6 1003.8   20.2
