#START7777
#--------------------------------------------------------------------------------------------------
# STN_ID : 지점번호
#    LON : 경도(degree) / LAT : 위도(degree)
# STN_SP : 지점 특성코드
#          - 첫째자리 : 0(목측), 5(목측+레이저(L)), 6(레이저적설계(L))
#          - 둘째자리 : 0(기상관서), 1(외부)
#     HT : 노장 해발고도 (m)
# STN_CD : 지점코드
# STN_KO : 지점명(한글)
# STN_AD : 관리관서번호
# FCT_ID : 예보구역코드
# LAW_ID : 법정동코드
#--------------------------------------------------------------------------------------------------
# STN           LON           LAT STN_SP          HT STN STN_KO               FCT_ID   LAW_ID    
#  ID         degee        degree --------         m  AD -------------------- -------- ----------
  252  126.47779000   35.28367100 612          37.20 156 영광군               21F20102 1283034030
  253  128.89075000   35.22981000 612          54.59 159 김해시               11H20304 4825010300
  254  127.12860000   35.37140000 612         127.00 146 순창군               11F10403 5277025026
  255  128.67260000   35.22655000 612          50.95 155 북창원               11H20301 4812311100
  257  129.02000000   35.30720000 612          14.85 152 양산시               11H20102 4833031027
  258  127.21230000   34.76330000 612           2.80 168 보성군               11F20404 1275038023
  259  126.78408000   34.64457000 612          16.00 165 강진군               11F20303 1278031022
  260  126.91949000   34.68875000 618          45.02 165 장흥                 11F20304 1277025043
  261  126.56907000   34.55375000 618          16.36 165 해남                 11F20302 1279025034
  262  127.27572000   34.61826000 618          51.91 168 고흥                 11F20403 1274025029
  263  128.28812000   35.32258000 612          14.10 155 의령군               11H20602 4872025024
  264  127.74538000   35.51138000 612         152.07 155 함양군               11H20501 4887025022
  266  127.69100000   34.94300000 612          80.90 156 광양시               11F20402 1219010600
  268  126.25850000   34.47310000 608           5.40 165 진도군               21F20201 1286025025
  269  126.03050000   35.34690000 618          28.00 156 안마도               21F20102 1283038025
  271  128.91449000   36.94361000 618         324.67 136 봉화                 11H10402 4792034021
  272  128.51687000   36.87183000 618         211.32 136 영주                 11H10401 4721025021
  273  128.14879000   36.62727000 618         173.01 136 문경                 11H10301 4728010800
  276  129.04230000   36.43210000 612         206.23 143 청송군               11H10503 4775025000
  277  129.40936000   36.53331000 618          42.12 138 영덕                 11H10102 4777036030
  278  128.68863000   36.35611000 618          81.81 143 의성                 11H10502 4773025031
  279  128.32054000   36.13055000 608          48.88 143 구미                 11H10602 4719010800
  281  128.95141000   35.97743000 618          93.60 143 영천                 11H10702 4723010200
  283  129.20090920   35.81746056 618          37.64 138 경주시               11H10202 4713011300
  284  127.90990000   35.66739000 608         228.45 152 거창                 11H20502 4888025028
  285  128.16986000   35.56503000 618          33.10 152 합천                 11H20503 4889025021
  288  128.74412000   35.49147000 618           8.31 152 밀양                 11H20601 4827010200
  289  127.87910000   35.41299000 618         138.07 155 산청                 11H20703 4886025023
  294  128.60453000   34.88818000 618          46.27 159 거제                 11H20403 4831010800
  295  127.92641000   34.81663000 618          44.95 159 남해                 11H20405 4884031021
  296  128.96024000   35.21778000 500           3.00 159 북부산               11H20201 2644010100
  300  126.31507000   35.85799000 618          44.18 146 말도                 21F10500 5213039030
  301  126.11638000   35.09511000 618           9.00 165 임자도               21F20803 1287032027
  302  126.18264000   34.64274000 618           6.00 165 장산도               21F20803 1287039025
  303  125.09741000   34.07275000 618         105.88 169 가거도               11F20701 1287036032
  304  126.84849000   34.31801000 618          25.41 165 신지도               11F20301 1285032024
  305  126.92009000   33.98622000 618          34.96 165 여서도               11F20301 1285035033
  306  127.80108000   34.43186000 618           3.00 168 소리도               11F20401 1213034026
  308  126.07303000   34.68703000 618           8.23 165 옥도                 21F20803 1287037027
  309  126.68660000   37.94640000 618          25.00 109 판문점               11B20305 4148038023
  310  129.26472000   37.32471000 618          14.07 105 궁촌                 11D20602 5123031030
  311  128.08673000   35.78915000 618         605.47 152 가야산               11H20503 4889033034
  312  129.14128000   36.39314000 618         262.19 143 주왕산               11H10503 4775031524
  313  128.74127000   34.88208000 618          70.00 159 양지암               11H20403 4831010100
  314  127.74312000   35.86621000 618        1515.31 146 설천봉               11F10302 5273032029
  315  127.51079000   35.30673000 618        1087.86 156 성삼재               11F20601 1273037026
  316  126.99743000   35.11438000 618         911.53 156 무등산               11F20501 1221012000
  425  126.98154000   37.46347000 618         113.00 109 남현                 11B10101 1162010300
  426  124.63048000   37.96611000 618         147.29 102 백령(레)             11A00101 2872033024
  427  126.64721000   37.66877000 618           9.00 109 양촌                 11B20102 4157025622
  428  127.21284000   37.55122000 618          29.00 109 하남덕풍             11B20504 4145010800
  429  126.76360000   37.50059000 618          15.67 109 부천원미             11B20204 4119010800
  493  127.00398000   36.72266000 618          53.64 133 송악                 11C20302 4420031021
  494  127.24028000   36.53083000 618         106.02 133 세종고운             11C20404 3611011200
  495  127.16254000   36.98062000 618          13.00 109 공도                 11B20611 4155025028
  496  127.26876000   36.45853000 618          27.23 133 세종금남             11C20404 3611034040
  497  128.85147000   37.57516000 618         660.40 105 삽당령               11D20200 5115032025
  498  128.51447000   37.87925000 618        1018.68 105 구룡령               11D20200 5172039023
  500  126.42010000   37.63170000 618          48.00 112 양도                 11B20101 2871035027
  501  125.69819000   37.65891000 618           7.63 112 대연평               11A00100 2872038021
  502  126.29164000   37.78944000 618          13.94 112 교동                 11B20101 2871040025
  503  126.71193000   37.90804000 618          18.29 109 도라산               11B20305 4148039024
  504  127.18073000   37.87035000 618         105.14 109 포천                 11B20403 4165010300
  505  127.34543000   37.82439000 618         170.45 109 가평조종             11B20400 4182034521
  506  126.77693000   37.74823000 618          12.88 109 파주금촌             11B20305 4148010100
  507  127.14358000   38.02479000 618          76.06 109 창수                 11B20400 4165035025
  508  126.36100000   37.46700000 618         124.00 112 왕산                 11B20200 2815510500
  509  126.95015000   37.45284000 618         141.64 109 관악                 11B10101 1162010200
  510  126.90705000   37.52706000 618          25.38 109 영등포               11B10101 1156011700
  511  126.63510000   37.56750000 618           7.13 112 경서동               11B20200 2827510200
  512  126.66209000   37.39684000 618           8.13 112 인천연수             11B20200 2818510500
  513  126.01427000   37.06551000 618          29.53 112 덕적지도             11B20201 2872035026
  514  126.57870000   37.23767000 618          10.00 112 대부도               11B20200 4127311200
  515  126.77370000   37.08450000 618           8.00 109 운평                 11B20604 4159125023
  516  127.25017000   37.00371000 618          23.92 109 안성                 11B20611 4155012200
  517  128.47450000   38.38537000 618           6.11 105 간성                 11D20402 5182025022
  518  128.12110000   38.26958000 618         468.47 101 해안                 11D10202 5180034022
  519  127.51941000   38.07545000 618         298.11 101 사내                 11D10102 5179034021
  520  128.51818000   38.16705000 618         135.58 105 설악동               11D20100 5121011200
  522  127.98380000   37.78712000 618         197.86 101 화촌                 11D10300 5172031025
  523  128.82138000   37.89905000 618           9.00 105 주문진               11D20501 5115025021
  524  128.89382000   37.78626000 618           4.00 105 경포                 11D20501 5115013500
  525  128.35893000   37.62109000 618         568.00 105 봉평                 11D10503 5176034028
  526  128.39469000   37.37748000 618         303.18 105 평창                 11D10503 5176025042
  527  128.64126000   37.21108000 618         392.43 105 신동                 11D10502 5177025921
  529  129.28585000   37.14156000 618          36.07 105 원덕                 11D20602 5123025332
  530  130.81180000   37.51510000 618         178.00 115 태하                 11E00100 4794031026
  531  127.55219000   37.89807000 618         109.66 109 가평북면             11B20404 4182035022
  532  127.07349000   37.73476000 618          89.49 109 의정부               11B20301 4115010500
  533  127.48079000   37.32779000 618          83.00 109 백사                 11B20701 4150032028
  534  127.61058000   37.12100000 618          88.20 109 장호원               11B20701 4150025023
  535  128.18265000   37.71701000 618         313.50 105 서석                 11D10302 5172034021
  536   27.97242000   37.48760000 618         114.35 105 횡성                 11D10402 5173025022
  537  128.84589000   37.48323000 618         488.08 105 임계                 11D20300 5177035026
  538  127.10301000   38.17254000 618          82.25 109 신서                 11B20402 4180036022
  539  127.36815000   38.02405000 618         145.00 109 포천이동             11B20403 4165038021
  540  126.89200000   37.63730000 618          44.71 109 고양                 11B20302 4128111300
  591  128.05047000   37.41554000 618         267.66 105 치악산               11D10403 5113031028
  592  127.74866000   37.23162000 618          52.70 105 부론                 11D10400 5113035024
  593  128.54069000   38.00731000 618         128.31 105 양양영덕             11D20100 5183031034
  594  128.21000000   38.25330000 618         316.00 105 서화                 11D20100 5181034023
  595  128.37415000   38.26414000 618         586.53 105 진부령               11D20402 5182025037
  596  128.49325000   38.07699000 618         240.99 105 오색                 11D20403 5183031033
  597  128.44108000   37.54548000 618         561.85 105 대화                 11D10503 5176033022
  598  126.99048000   37.83118000 618          85.22 109 양주                 11B20304 4163033021
  599  127.16977000   37.76173000 618         101.49 109 광릉                 11B20403 4165025025
  600  127.58973000   36.97369000 618         131.87 131 금왕                 11C10103 4377025326
  601  128.34687000   37.00204000 618         147.07 131 단양                 11C10202 4380025028
  602  127.46231000   36.86338000 618          68.00 131 진천                 11C10102 4375025025
  603  127.77758000   36.81613000 618         120.50 131 괴산                 11C10303 4376025022
  604  127.59654000   36.29995000 618         118.05 131 옥천                 11C10403 4373025028
  605  127.75500000   36.16000000 618         143.00 131 영동                 11C10402 4374036022
  606  126.38808000   37.01061000 618          23.22 177 대산                 11C20100 4421025027
  607  126.13542000   36.67309000 618           8.00 177 근흥                 11C20100 4482533028
  609  126.35637000   36.33788000 618          36.10 133 삽시도               11C20200 4418032028
  610  126.44237000   36.52003000 618          16.88 177 홍성죽도             11C20104 4480037032
  611  127.28056000   36.56667000 618          51.00 133 세종연서             11C20404 3611036033
  612  127.13646000   36.48284000 618          24.00 133 공주                 11C20402 4415012100
  614  126.70430000   36.06220000 618           8.00 133 서천                 11C20202 4477031021
  615  127.10815000   36.21164000 618           8.15 133 논산                 11C20602 4423010800
  616  126.61739000   36.88936000 618          52.40 177 당진                 11C20103 4427010200
  617  127.14556000   36.89056000 618          27.00 133 직산                 11C20301 4413325622
  618  126.77906000   36.42371000 618          98.75 133 청양                 11C20502 4479025026
  619  127.70241000   36.92297000 618         133.44 131 음성                 11C10103 4377025022
  620  127.90353000   37.07371000 618          65.43 131 엄정                 11C10101 4313042022
  621  128.21420000   36.97320000 618         147.26 131 수산                 11C10201 4315033040
  622  128.00794000   36.83909000 618         232.11 131 수안보               11C10101 4313032522
  623  127.56199000   36.79560000 618          74.72 131 증평                 11C10304 4374525031
  624  127.65709000   36.62435000 618         244.00 131 상당                 11C10301 4311132044
  625  127.81556000   36.51639000 618         325.00 131 속리산               11C10302 4372031521
  626  127.82157000   36.35294000 618         120.57 131 옥천청산             11C10403 4373035033
  703  127.43740000   35.76030000 618         352.20 146 진안                 11F10303 5272025025
  704  126.47755000   35.62095000 618           1.94 146 변산                 21F10600 5280036022
  706  126.97266000   35.31021000 618          44.67 156 담양                 11F20504 1271025022
  707  126.20839000   35.05796000 618          34.31 165 지도                 21F20803 1287025025
